university,fol_cnt,fan_cnt,wb_cnt,lvl,wb_cnt_since2015,ret_cnt,cmt_cnt,like_cnt
苏州工业园区职业技术学院,129.8,367.6,297.4,10.2,23.0,0.284657,0.283984,0.205249
江苏海事职业技术学院,269.0,1679.75,502.25,13.833333,170.0,2.495003,1.895646,2.905641
宁波诺丁汉大学,348.666667,3746.75,1325.666667,17.0,145.0,3.251479,1.067681,0.704766
辽宁金融职业学院,23.0,491.5,75.5,5.0,7.0,2.04,1.513333,1.286667
绵阳职业技术学院,169.6,791.5,441.8,15.3,297.0,0.392922,1.181261,2.694646
宁波城市职业技术学院,367.0,3123.5,3930.0,25.785714,1259.0,1.282584,0.434628,0.897321
宁波工程学院,349.090909,2641.818182,2776.272727,24.181818,648.0,1.036953,0.47253,0.773623
东北大学,345.0,40758.666667,4569.333333,22.333333,2087.0,10.172113,5.486824,12.161723
浙江大学宁波理工学院,284.444444,3195.555556,1994.555556,20.888889,341.0,1.106621,0.404244,0.547538
南通职业大学,151.333333,1459.333333,646.666667,11.666667,123.0,0.627451,0.382353,0.908153
西北师范大学,606.727273,6514.454545,5124.727273,24.272727,1762.0,5.489581,0.773264,3.135839
宁夏大学,128.111111,4655.333333,653.888889,12.777778,404.0,2.448563,2.779529,6.602009
西安外国语大学,448.9,5040.6,2310.2,19.1,165.0,1.547136,0.875086,0.724776
青岛远洋船员职业学院,155.333333,2698.333333,300.666667,9.666667,13.0,0.54485,0.398671,0.41196
松原职业技术学院,23.0,28.0,4.0,7.0,1.0,0.0,1.0,0.25
山东农业大学,190.5,2634.214286,1478.571429,18.5,766.0,1.682592,1.355208,4.159707
上海电机学院,189.166667,1658.583333,1214.833333,16.583333,272.0,1.443444,0.645465,0.612666
上海体育学院,293.8,2062.7,1285.6,16.9,199.0,2.540977,1.0993,0.942473
上海音乐学院,259.555556,1883.888889,279.0,12.777778,2.0,2.937194,1.099103,0.270392
上海中医药大学,185.0,1356.111111,809.111111,14.777778,158.0,0.896923,0.416448,0.414792
上海应用技术学院,335.0,2498.636364,2276.0,18.272727,408.0,0.99359,0.449087,0.373996
上海视觉艺术学院,508.75,3947.25,1849.0,16.75,554.0,2.130525,0.88407,2.996283
上海第二工业大学,357.0,16433.5,3759.5,19.5,1158.0,2.648043,1.136302,3.063023
上海电子信息职业技术学院,125.5,288.0,309.5,13.0,58.0,0.972447,0.487844,0.421394
上海工程技术大学,135.777778,964.333333,396.444444,11.777778,29.0,1.30661,0.571308,0.269198
四川交通职业技术学院,192.5,1407.083333,839.583333,19.666667,558.0,0.931197,1.214745,3.643029
广西师范学院师园学院,86.0,573.0,284.4,15.2,109.0,1.226095,0.695264,1.681859
沈阳农业大学,166.166667,954.5,952.25,16.5,557.0,1.119223,0.484964,1.520979
天津商业大学宝德学院,116.0,763.0,238.0,8.0,20.0,0.477089,0.433962,1.633423
西安财经学院,169.888889,612.444444,1174.0,17.777778,409.0,0.334361,0.256356,0.662461
新疆财经大学商务学院,123.5,2662.0,562.5,21.0,183.0,1.286096,1.138146,1.683601
安徽扬子职业技术学院,36.5,474.0,111.5,9.0,52.0,0.644144,1.490991,1.630631
运城学院,161.333333,3067.555556,1694.0,21.555556,954.0,2.371762,2.11557,8.965817
北京理工大学珠海学院,738.1,11343.0,3514.8,23.9,179.0,3.77195,1.863606,0.462482
沈阳师范大学,76.142857,1076.714286,1158.571429,17.285714,318.0,0.675535,1.117931,5.763024
浙江纺织服装职业技术学院,594.833333,8116.166667,8417.75,25.5,3031.0,2.180809,0.801239,0.780972
湖南第一师范学院,224.285714,2784.428571,2038.285714,18.285714,1047.0,1.949993,2.443132,7.082543
西南林业大学,190.384615,2444.461538,301.461538,12.461538,102.0,1.502825,0.800205,1.115562
红河学院,569.888889,2706.777778,754.444444,16.0,228.0,1.231406,0.867662,0.734881
河南理工大学万方科技学院,233.3,1658.0,1381.2,19.5,814.0,1.193817,0.856091,3.355466
浙江万里学院,231.3,3357.9,1506.4,18.2,137.0,1.626862,1.075722,0.54891
三亚城市职业学院,85.0,709.0,804.0,17.0,655.0,0.18929,0.120797,0.310087
三亚学院,308.2,3528.8,1929.8,19.8,424.0,1.648148,0.57115,1.413255
三亚理工职业学院,114.5,142.5,98.5,6.0,0.0,0.19797,0.213198,0.345178
三亚航空旅游职业学院,276.142857,1705.571429,954.285714,18.714286,181.0,1.266405,0.542696,0.46736
新乡医学院三全学院,333.941176,1999.352941,1693.764706,16.705882,565.0,1.146527,0.716,2.227827
重庆三峡医药高等专科学校,116.0,890.0,3433.333333,12.333333,1869.0,0.419187,0.111744,0.834741
三峡大学,587.545455,16217.090909,4383.0,24.0,833.0,2.434595,1.207401,2.027005
三峡大学科技学院,345.5,2463.5,881.5,16.5,31.0,0.956322,0.634483,0.528161
三峡旅游职业技术学院,28.0,161.0,219.0,6.0,218.0,0.06422,0.119266,1.559633
三峡电力职业学院,93.0,660.2,221.6,13.8,11.0,1.675182,0.646898,0.959854
湖北三峡职业技术学院,237.6,2039.8,308.2,14.6,115.0,0.616938,0.52899,1.751792
三明学院,449.090909,2749.0,4171.545455,26.909091,2208.0,2.080557,0.687044,1.154166
三明职业技术学院,73.666667,2253.166667,1145.0,19.5,746.0,5.20315,1.425988,7.431092
三江学院,168.666667,1112.833333,583.0,12.833333,243.0,0.857756,0.580137,2.138523
黑龙江三江美术职业学院,218.0,31797.0,10849.0,24.0,2441.0,0.763995,0.092059,0.157151
三门峡职业技术学院,104.0,1860.0,523.0,12.0,229.0,0.8921,0.659602,4.256262
上海商学院,174.4,2115.8,1893.4,23.0,648.0,1.023534,0.303701,0.759949
上海外国语大学,791.916667,17921.25,2101.0,20.25,164.0,7.312041,2.582822,2.121056
上海对外经贸大学,371.733333,2475.4,1882.4,18.2,182.0,1.844291,0.593506,0.328622
上海工艺美术职业学院,606.5,1386.0,502.5,13.0,53.0,0.719316,0.38833,0.390342
上海师范大学,367.384615,6802.615385,2810.076923,21.692308,477.0,2.552981,0.804995,2.837666
上海师范大学天华学院,143.923077,765.384615,711.923077,15.307692,106.0,0.925063,0.567912,0.475438
上海政法学院,100.75,1768.875,802.75,13.875,253.0,0.891988,0.823956,0.951636
上海东海职业技术学院,54.5,47.5,45.5,3.5,0.0,0.466667,0.577778,0.233333
上海交通大学,340.076923,45524.692308,4657.0,20.384615,1430.0,27.173223,5.947158,13.332204
上海健康职业技术学院,73.0,395.0,484.0,9.0,0.0,0.780538,0.548654,0.10766
上海公安高等专科学校,1052.833333,6846.833333,5407.5,26.166667,859.0,2.939139,1.373876,0.918098
上海农林职业技术学院,97.833333,732.166667,673.5,15.166667,192.0,0.952204,0.460872,0.497771
上海大学,330.5,33058.5,4368.5,26.5,822.0,9.90131,3.173258,6.919054
上海工商外国语职业学院,60.25,588.25,401.25,12.75,276.0,0.941103,0.380535,0.46345
上海建峰职业技术学院,47.0,1017.0,589.0,14.0,79.0,0.965147,0.550492,0.36193
上海建桥学院,149.666667,2774.222222,870.111111,18.0,144.0,3.032395,1.210053,0.788533
上海思博职业技术学院,15.0,146.5,135.0,10.0,31.0,0.340741,0.511111,0.214815
上海旅游高等专科学校,58.0,465.0,177.0,6.0,41.0,0.688385,0.393768,0.694051
上海杉达学院,415.333333,4976.666667,1587.0,18.333333,106.0,3.730787,1.040509,1.308102
上海济光职业技术学院,36.5,514.0,552.5,11.0,82.0,0.688406,0.788949,0.262681
上海海事大学,290.076923,6168.692308,2049.461538,20.307692,360.0,8.262413,3.41032,3.426664
上海海关学院,175.0,1726.833333,1035.5,16.166667,306.0,1.570571,0.83033,1.073073
上海海洋大学,264.642857,2297.071429,1099.571429,17.428571,125.0,4.44965,2.164445,0.714201
上海理工大学,247.272727,5994.454545,2365.454545,19.454545,585.0,3.328701,1.620482,2.021507
上海电力学院,320.8,1443.6,859.6,16.6,259.0,1.699216,0.73129,1.654787
上海电影艺术职业学院,94.0,62504.0,1619.0,22.0,254.0,1.057037,0.510849,0.156851
上海科技大学,62.333333,708.666667,308.0,10.333333,192.0,1.780303,0.82684,2.296537
上海立信会计学院,167.363636,1199.272727,755.181818,17.181818,157.0,1.04881,0.722758,0.726541
上海纽约大学,69.2,6597.6,521.6,12.2,97.0,9.42937,5.226656,5.193536
东华大学,506.571429,13484.142857,3334.142857,21.428571,351.0,5.949996,1.697388,1.371972
上海行健职业学院,90.0,522.0,147.0,12.0,85.0,0.408163,0.176871,0.605442
上海财经大学,300.181818,18384.727273,2505.909091,19.363636,170.0,3.94213,1.366972,1.124247
上海财经大学浙江学院,383.5,1420.75,858.0,17.5,90.0,1.999706,0.789257,1.09774
上海邦德职业技术学院,452.0,821.0,724.0,19.0,371.0,0.653576,0.525947,0.238429
上海金融学院,269.75,2696.5,1517.0,21.0,290.0,1.376822,0.909652,1.341848
上海震旦职业学院,140.75,508.25,291.5,12.75,23.0,0.817158,0.577123,0.110052
上饶师范学院,106.0,2725.0,615.0,15.5,317.0,2.563977,2.070905,4.372453
大连海事大学,296.875,7484.625,1543.0,16.125,538.0,2.287139,1.623363,3.41306
东北农业大学,293.333333,2134.0,524.333333,13.333333,95.0,0.760383,0.426198,0.895847
东北师范大学,271.25,8888.0,376.5,13.5,76.0,5.504654,3.685505,1.938165
东北师范大学人文学院,99.714286,1819.857143,464.285714,12.285714,194.0,0.58575,0.598705,0.74892
东北林业大学,218.0,10154.0,2224.0,24.0,1988.0,2.210923,1.370056,8.928437
东北电力大学,82.0,445.0,94.0,15.0,1.0,0.56383,1.329787,0.553191
东北石油大学,49.0,460.2,522.8,10.2,411.0,0.235564,0.387763,2.427533
东华理工大学,387.166667,2232.0,1235.666667,19.666667,480.0,1.088892,0.747295,1.109711
东华理工大学长江学院,183.666667,2281.333333,845.333333,19.666667,361.0,3.966719,0.844691,1.995642
东南大学,488.888889,21273.333333,2728.777778,21.444444,399.0,10.631687,3.717468,4.738006
东南大学成贤学院,191.0,2258.0,452.0,10.0,21.0,0.529933,1.929047,0.208426
福建农林大学东方学院,318.222222,2199.666667,2041.444444,23.111111,743.0,1.739694,0.848849,1.580818
湖南农业大学东方科技学院,221.0,2306.333333,964.666667,22.0,418.0,2.659729,1.069719,4.515435
东莞职业技术学院,143.5,3894.5,1232.75,13.25,205.0,3.149451,1.800122,0.445506
东莞理工学院城市学院,272.0,4293.222222,1155.555556,16.444444,128.0,3.923935,1.698327,1.192652
东莞理工学院,298.571429,6837.857143,2259.857143,19.428571,81.0,4.840628,1.71888,0.215842
东营职业学院,141.0,2545.0,583.6,14.4,517.0,1.237177,1.172117,2.272289
大连东软信息学院,230.8,3429.0,1032.8,18.2,344.0,2.612386,1.268896,2.163039
广东东软学院,301.857143,2136.571429,1623.571429,21.142857,370.0,1.383607,1.363767,0.203429
武汉科技大学城市学院,162.1,1633.9,916.5,17.3,363.0,1.178132,1.073187,2.808242
中北大学,355.75,12581.875,3260.625,21.375,1130.0,3.702167,3.060268,3.115741
南京师范大学中北学院,149.0,1133.333333,467.0,15.0,89.0,0.948317,0.449519,0.75
内蒙古医科大学,277.333333,2347.5,877.166667,14.166667,453.0,1.960437,1.491243,3.437049
中华女子学院,148.4,3864.8,1504.0,14.4,314.0,1.401243,0.717374,0.629154
中南大学,502.0,21968.625,2759.25,23.125,906.0,9.800841,2.986279,9.321861
中南林业科技大学,237.142857,7039.571429,1809.571429,21.0,619.0,1.371304,0.751631,1.94256
中南林业科技大学涉外学院,62.5,608.5,150.5,10.0,26.0,1.748299,0.758503,0.578231
中南民族大学,225.444444,5805.777778,1758.888889,20.555556,487.0,1.984864,1.36154,2.845063
中南财经政法大学,268.0,16122.083333,3458.666667,21.833333,869.0,6.617533,2.257328,3.274108
中原工学院,334.0,3056.777778,1663.444444,21.666667,639.0,5.448836,1.899021,2.881422
中国人民公安大学,1127.0,9804.0,4037.0,25.0,498.0,3.184496,1.29186,1.175581
中国人民大学,246.75,19105.416667,2773.333333,19.25,391.0,10.602104,2.038019,3.800706
中国传媒大学,308.75,37766.416667,1890.5,20.166667,296.0,4.659529,2.657533,1.353718
中国农业大学,285.5,18148.5,1233.75,15.0,174.0,2.507874,1.342872,2.165414
中国刑事警察学院,710.0,14938.0,345.0,24.0,118.0,19.075802,9.556851,13.728863
中国劳动关系学院,155.75,2383.5,1903.75,20.75,375.0,2.005948,0.565829,1.143687
中国医科大学,272.0,1400.5,619.5,10.5,38.0,0.691892,0.602162,0.047568
中国地质大学武汉,221.0,878.0,1322.0,16.0,296.0,0.76589,0.554283,0.615081
中国戏曲学院,233.333333,2901.166667,596.333333,14.333333,104.0,2.400657,0.968629,2.049298
中国政法大学,283.888889,19742.888889,931.0,18.0,175.0,7.719221,3.268161,3.507044
中国民用航空飞行学院,330.5,7131.0,1755.75,18.5,894.0,3.960434,2.654162,10.638628
中国民航大学,219.2,3181.6,793.6,15.4,418.0,2.430396,0.775287,5.089416
中国海洋大学,216.75,11406.875,2056.25,16.75,442.0,4.031134,2.096609,2.604439
湖南现代物流职业技术学院,44.0,125.0,82.0,8.0,12.0,4.95122,1.853659,5.97561
中国石油大学北京,360.0,10181.0,2769.0,26.0,1657.0,4.294848,2.000752,5.854457
中国石油大学华东,303.5,21787.5,3593.5,20.5,1215.0,4.102952,2.207598,4.818105
中国矿业大学,517.363636,10000.727273,2619.818182,22.636364,1293.0,2.201404,1.474281,2.878386
中国矿业大学北京,101.0,1876.0,982.0,10.2,419.0,1.262964,0.887682,2.415249
中国矿业大学徐海学院,99.0,1681.5,537.0,13.0,340.0,0.330327,0.479938,1.241058
中国科学技术大学,342.125,17874.375,1600.125,19.5,414.0,11.673816,3.984032,4.357801
中国科学院大学,143.0,1313.0,183.5,8.666667,9.0,2.146364,1.346364,0.156364
中国美术学院,268.090909,10663.909091,1289.909091,16.727273,171.0,3.571178,1.044596,1.524019
中国药科大学,409.25,3362.0,1124.875,14.625,441.0,1.069844,0.734615,1.760323
中国计量学院,230.777778,4408.111111,2395.777778,22.777778,680.0,2.170121,1.058859,0.958265
中国音乐学院,119.0,2559.833333,271.166667,13.333333,35.0,2.625,0.957921,1.589109
中山大学南方学院,438.25,3721.125,2321.625,21.125,404.0,4.888451,1.152314,0.253388
中山大学新华学院,229.833333,4886.166667,959.5,15.833333,203.0,4.851102,1.113006,1.323561
中央民族大学,268.5,10901.0,673.333333,12.166667,184.0,7.835031,8.218941,9.868126
中央美术学院,362.6,74330.5,3494.3,17.3,606.0,10.315665,2.061204,3.258069
中央财经大学,238.6,17071.0,1123.6,17.8,237.0,11.642384,4.369071,6.783247
中央音乐学院,106.714286,28209.428571,989.714286,11.428571,22.0,24.94837,27.72192,1.041667
中山大学,316.625,56046.5,2079.375,21.625,127.0,17.689687,5.796944,4.104226
电子科技大学中山学院,484.25,7546.5,1927.25,17.375,188.0,5.382177,1.306796,0.806536
中山火炬职业技术学院,13.0,246.0,1329.0,4.0,281.0,0.086596,0.037651,0.015813
中山职业技术学院,214.0,1222.6,914.0,15.0,54.0,1.637799,0.95023,0.237009
中州大学,78.2,735.4,302.6,12.8,194.0,27.864632,5.522893,1.406768
中原工学院信息商务学院,106.142857,1017.0,838.142857,15.571429,353.0,0.96801,1.509544,2.759456
北京第二外国语学院中瑞酒店管理学院,89.0,287.0,271.0,8.5,0.0,0.778189,0.249538,0.090573
中国矿业大学银川学院,132.0,179.0,571.0,13.0,250.0,0.196147,0.10683,0.614711
中央司法警官学院,318.0,2530.0,2200.0,24.0,2000.0,1.135109,0.743102,3.322074
杭州职业技术学院,66.666667,334.333333,708.333333,11.0,73.0,0.307547,0.410849,0.321698
临沂大学,253.538462,3241.384615,1306.769231,19.230769,720.0,0.999229,0.682072,4.623042
临沂职业学院,47.0,380.0,63.0,9.0,61.0,0.539683,0.650794,8.349206
丽水学院,343.0,2697.875,3046.0,24.125,958.0,1.181677,0.573849,1.611875
丽水职业技术学院,153.25,1054.75,790.75,16.75,118.0,1.577107,1.021304,0.245151
丽江师范高等专科学校,32.0,452.0,59.0,8.0,58.0,1.103448,0.137931,2.965517
义乌工商职业技术学院,807.5,1465.5,505.0,14.0,25.0,2.26713,0.915591,0.699106
浙江工业大学之江学院,114.0,10279.0,1256.0,23.0,250.0,3.332803,2.186306,1.034236
乌兰察布职业学院,17.0,291.0,13.0,4.0,12.0,0.384615,1.230769,1.384615
乌鲁木齐职业大学,45.5,835.5,184.0,12.5,51.0,0.53268,0.473856,0.794118
乐山师范学院,162.076923,1081.153846,953.384615,15.153846,422.0,0.459155,0.435791,1.942352
成都理工大学工程技术学院,576.0,4284.5,4275.5,16.5,2396.0,2.035981,5.132678,7.234466
乐山职业技术学院,127.5,406.25,274.0,13.25,236.0,3.214433,3.969072,1.684536
九江学院,268.666667,8841.333333,2414.0,23.333333,1130.0,1.560534,2.246432,6.499003
九江职业大学,174.5,2430.666667,771.916667,17.166667,364.0,0.621677,1.125085,3.468189
九江职业技术学院,157.4,474.4,316.333333,10.866667,226.0,1.865883,0.469962,1.657061
湖北第二师范学院,166.875,1272.75,1075.625,19.625,568.0,15.223035,1.714775,2.397923
云南三鑫职业技术学院,257.5,467.0,687.5,16.5,499.0,0.419188,0.363838,4.82214
云南中医学院,110.833333,1018.5,865.0,14.0,434.0,2.310582,3.145555,1.925256
云南农业大学,167.125,1789.0,1006.375,14.0,253.0,0.369368,0.28935,0.35708
云南农业职业技术学院,111.0,3575.25,92.25,8.75,4.0,0.9819,0.809955,0.479638
云南国土资源职业学院,23.0,108.0,34.333333,5.666667,0.0,0.960784,0.754902,0.078431
云南城市建设职业学院,1006.0,423.0,118.0,8.0,0.0,1.353448,0.37069,0.568966
云南大学,534.75,13619.0,2958.0,25.5,679.0,3.549288,1.790858,2.002415
云南大学旅游文化学院,79.4,1060.2,228.0,12.4,19.0,1.952507,1.162709,1.080915
云南大学滇池学院,169.0,2000.2,1916.4,19.0,514.0,0.686532,0.465323,0.967126
云南工商学院,315.0,934.0,1365.5,16.5,314.0,1.525018,1.433775,0.600074
云南工程职业学院,33.0,64.0,5.0,2.0,4.0,1.2,1.1,0.5
云南师范大学文理学院,151.181818,2526.545455,1724.272727,19.0,1047.0,2.045455,1.96741,4.889901
云南师范大学,230.5,7195.5,2923.5,23.5,793.0,1.681896,0.578923,1.966537
云南师范大学商学院,196.9,1908.5,745.8,16.2,299.0,1.425457,0.865985,1.75915
云南机电职业技术学院,311.5,877.0,543.0,12.5,508.0,0.402214,0.110701,2.248155
云南民族大学,216.714286,1745.071429,2127.071429,22.142857,809.0,1.174692,0.493904,2.401598
云南文化艺术职业学院,143.0,78.0,70.0,4.0,0.0,0.242857,0.2,0.1
云南经济管理学院,178.5,1007.5,343.25,14.5,187.0,0.588149,0.383321,0.997805
云南经贸外事职业学院,95.0,316.5,199.5,8.5,198.0,0.431818,0.174242,2.522727
云南艺术学院,375.571429,2053.428571,1171.285714,16.142857,117.0,0.975583,0.648488,0.632871
云南艺术学院文华学院,243.25,661.75,444.875,12.25,77.0,1.087624,0.774164,0.981331
云南警官学院,282.0,1746.0,1154.0,23.0,995.0,4.993924,1.914931,4.013021
云南财经大学,255.142857,2372.428571,2192.0,19.714286,773.0,2.335225,0.731635,1.899083
云南司法警官职业学院,93.0,456.0,154.0,13.0,152.0,1.779221,0.474026,2.103896
五邑大学,533.2,5177.6,1560.1,20.6,203.0,4.86629,1.678991,0.632626
井冈山大学,117.615385,1721.307692,826.153846,15.615385,693.0,2.294354,1.427718,4.255716
广东亚视演艺职业学院,210.25,364.25,206.5,8.5,73.0,0.942822,3.254258,1.710462
辽宁省交通高等专科学校,63.666667,559.666667,74.0,5.333333,30.0,0.809955,1.334842,5.39819
西南交通大学,366.083333,23788.916667,3303.083333,20.75,1436.0,5.647673,3.08362,6.663821
广东交通职业技术学院,531.375,2951.625,920.125,14.625,51.0,1.965846,1.022677,0.223728
沈阳药科大学,111.428571,771.714286,341.428571,11.0,130.0,0.815878,0.695946,2.850929
亳州职业技术学院,243.0,402.0,186.0,14.0,122.0,0.204301,0.424731,1.924731
鲁东大学,153.0,4172.25,648.0,17.75,202.0,0.576146,0.27467,1.581197
广东科学技术职业学院,200.857143,3042.142857,769.857143,16.571429,116.0,3.852128,1.284541,1.198469
安阳师范学院人文管理学院,142.0,1110.333333,524.888889,13.666667,295.0,2.146077,1.250904,2.320646
西交利物浦大学,352.285714,5258.428571,2194.857143,20.857143,357.0,2.654037,1.15139,1.495202
仰恩大学,382.857143,2126.714286,1811.571429,23.285714,679.0,1.778162,0.438986,0.711429
仲恺农业工程学院,397.9,3308.5,864.5,16.5,116.0,2.930126,1.412804,0.645833
伊犁师范学院,122.25,2372.25,790.75,15.75,547.0,1.255373,0.316688,2.908344
伊犁职业技术学院,38.0,1119.0,77.0,4.0,0.0,0.736842,0.342105,0.052632
上海体育职业学院,397.0,600.0,481.0,15.0,0.0,1.002611,0.498695,0.031332
佛山科学技术学院,619.166667,2101.5,942.0,19.833333,90.0,4.069578,1.270146,0.396521
佛山职业技术学院,634.5,2329.833333,1643.5,18.666667,669.0,1.615078,3.468281,2.063227
浙江交通职业技术学院,130.75,1259.0,1103.5,20.25,462.0,0.314005,0.323825,0.832359
佳木斯大学,44.0,95.0,497.0,12.0,395.0,0.1167,0.06841,1.006036
佳木斯职业学院,30.0,43.0,4.0,1.0,0.0,4.0,3.75,0.5
江西警察学院,282.571429,1724.357143,1746.357143,18.785714,654.0,2.307111,1.712234,2.074532
保定学院,67.857143,750.142857,530.285714,14.857143,332.0,1.328649,0.911081,1.737027
保定幼儿师范高等专科学校,288.0,219.0,45.0,8.0,0.0,0.166667,0.119048,0.428571
保定职业技术学院,40.0,389.0,186.0,14.0,84.0,0.07027,0.048649,0.459459
保险职业学院,92.0,1082.5,237.5,13.5,26.0,0.759494,0.871308,1.14346
山东英才学院,194.625,3398.3125,1600.75,17.0625,950.0,3.999607,1.836971,4.781149
长春工业大学,256.4,1734.8,713.0,10.2,211.0,0.889604,0.861158,0.717237
铜陵职业技术学院,48.0,837.0,1140.5,13.0,439.0,0.648737,0.725912,1.073433
南京信息职业技术学院,225.428571,2311.857143,1328.0,19.142857,408.0,0.734648,0.690592,0.722141
信阳农林学院,156.888889,1133.777778,1325.888889,15.222222,816.0,2.086683,1.332298,4.164639
信阳师范学院华锐学院,224.818182,1153.0,1537.090909,21.818182,960.0,0.671593,0.467949,2.66085
信阳师范学院,463.785714,6234.642857,3396.214286,24.785714,1683.0,4.9927,2.114144,7.425149
信阳涉外职业技术学院,1034.0,648.0,308.0,14.0,185.0,0.46732,0.27451,0.581699
信阳职业技术学院,136.333333,924.0,610.666667,9.333333,434.0,0.577766,0.257941,1.278204
绍兴文理学院元培学院,505.0,2626.333333,2013.333333,22.666667,540.0,0.42557,0.444088,0.68198
长春光华学院,177.5,1355.1,499.4,11.0,190.0,1.397704,1.513693,4.391261
长春理工大学光电信息学院,62.5,573.0,262.0,12.0,186.0,2.105058,2.132296,10.225681
黑龙江八一农垦大学,750.0,999.0,1105.0,18.0,1104.0,2.48913,0.540761,6.894022
福建医科大学,235.444444,4364.111111,1796.444444,23.444444,659.0,3.334846,1.494581,1.988658
六盘水师范学院,113.0,81.0,140.5,12.0,119.0,0.097122,0.071942,0.723022
兰州交通大学,580.857143,2110.0,2107.571429,18.0,628.0,0.639266,0.196945,0.631182
兰州城市学院,270.4,1658.8,1571.5,17.8,435.0,1.154834,0.465721,2.429388
兰州外语职业学院,13.5,206.0,6.5,3.5,5.0,0.153846,0.615385,0.923077
兰州大学,330.6,24489.6,4863.0,23.4,2147.0,6.884341,2.576834,9.602703
兰州工业学院,305.0,641.833333,862.666667,14.666667,456.0,0.635341,0.109773,1.017966
兰州文理学院,74.0,524.0,504.0,12.0,497.0,0.219316,0.416499,2.231388
兰州理工大学,441.909091,3321.0,2086.545455,19.909091,649.0,1.622287,0.828444,2.242107
兰州理工大学技术工程学院,179.0,2732.5,675.5,13.0,47.0,2.125561,0.815396,0.367713
兰州石化职业技术学院,92.5,2257.5,77.5,9.0,55.0,21.554839,1.690323,34.567742
兰州财经大学,150.0,1847.0,1305.0,21.5,730.0,1.563413,0.648732,1.413144
兰州资源环境职业技术学院,120.25,546.5,443.75,7.5,388.0,0.38017,0.10255,1.149575
兴义民族师范学院,34.0,1395.0,3.0,1.0,0.0,1.666667,1.333333,5.333333
兴安职业技术学院,211.0,327.0,52.0,4.0,0.0,0.25,0.076923,0.019231
内蒙古农业大学,109.142857,1800.428571,452.714286,12.285714,189.0,0.757428,0.474562,2.174196
内江师范学院,148.3,2656.9,1959.5,16.6,653.0,1.774056,1.382246,3.782322
内蒙古建筑职业技术学院,258.5,655.0,877.5,12.0,248.0,0.224758,0.066172,0.371363
内江职业技术学院,68.333333,824.666667,749.0,14.666667,583.0,0.211444,0.422441,1.641037
内蒙古电子信息职业技术学院,40.25,570.5,38.5,6.25,10.0,1.175325,1.012987,0.980519
内蒙古科技大学,287.333333,4263.333333,2060.166667,20.5,879.0,4.244756,0.989931,5.600269
