university,fol_cnt,fan_cnt,wb_cnt,lvl,wb_cnt_since2015,ret_cnt,cmt_cnt,like_cnt
阿坝师范学院,114.0,1264.142857,634.285714,16.285714,335.0,0.883968,1.334717,4.679815
海口经济学院,514.307692,3988.307692,1526.230769,17.769231,435.0,1.239705,0.83985,1.427777
上海中侨职业技术学院,630.857143,753.571429,610.714286,15.142857,85.0,0.745826,0.28427,0.323771
贵州盛华职业学院,152.5,1437.5,809.5,16.5,87.0,1.969059,1.074257,0.806312
贵阳中医学院,136.333333,279.666667,176.0,6.333333,64.0,0.36597,0.859316,0.548479
黑龙江大学,435.875,8956.375,2733.375,22.75,708.0,3.666249,1.98393,2.869816
川北医学院,121.916667,2280.75,1090.75,16.083333,919.0,2.091787,3.173375,8.764033
湖南信息职业技术学院,92.5,94008.5,14440.5,10.5,871.0,0.131651,0.053941,0.039905
南阳理工学院,84.0,1073.0,350.0,11.888889,146.0,1.52359,1.274497,2.273837
徐州工程学院,163.833333,2960.666667,1196.166667,17.333333,416.0,0.612735,0.930559,1.882064
广东农工商职业技术学院,441.75,2929.25,1418.5,15.25,89.0,1.877782,0.516779,0.247969
云南交通职业技术学院,111.0,719.5,359.0,16.5,235.0,0.636872,0.502793,1.405028
北京电影学院现代创意媒体学院,63.0,3489.0,137.571429,12.0,53.0,95.42348,3.08805,2.783019
北京航空航天大学北海学院,176.7,2452.9,886.2,11.9,5.0,3.278305,1.092961,0.256078
四川外国语大学成都学院,168.583333,1367.416667,622.916667,17.833333,260.0,2.704161,1.25047,2.695436
重庆信息技术职业学院,135.666667,795.0,306.666667,7.333333,82.0,7.013415,3.984146,1.045122
重庆科创职业学院,440.25,3034.5,716.25,11.75,69.0,2.194848,0.658563,0.652758
中国传媒大学南广学院,182.555556,12440.222222,2281.0,22.666667,588.0,3.046935,1.483544,2.780522
成都信息工程大学,258.375,2775.5,1798.5,21.875,938.0,2.170373,1.558783,3.723361
常州纺织服装职业技术学院,96.0,1091.0,741.666667,13.333333,402.0,0.353153,0.501351,0.316216
宁波大红鹰学院,584.0,4566.9,4155.3,24.0,841.0,1.820549,0.702239,0.821393
大连海洋大学,122.777778,2692.222222,630.222222,14.333333,147.0,0.965662,0.653744,1.07377
上海戏剧学院,381.6,9111.6,1757.0,20.6,546.0,6.618498,2.023181,4.538346
福建信息职业技术学院,164.0,1120.0,1345.25,20.75,816.0,0.575221,1.214461,2.614762
广州美术学院,340.111111,4458.0,1231.555556,17.444444,107.0,5.042888,1.276488,0.719659
安徽黄梅戏艺术职业学院,237.0,1064.0,326.0,19.0,13.0,0.376543,0.299383,0.302469
海南软件职业技术学院,236.833333,965.5,251.333333,9.333333,100.0,0.284091,0.179144,0.213904
四川音乐学院,96.666667,1596.833333,100.666667,8.333333,14.0,1.129353,0.935323,0.426202
