university,20151,20152,20153,20154,20155,20156,20157,20158,20159,201510,201511,201512,20161,20162,20163,20164
北京大学,40700,3270,40300,40500,41100,43000,43700,40300,41500,43000,43900,45700,45800,2400,50600,45800
中国人民大学,539,781,1990,1250,1270,1890,2570,1730,2020,1520,1520,1430,991,427,1230,1580
清华大学,40000,2100,42700,43800,45100,46200,45600,43400,43700,45900,47000,52300,49000,2590,64000,50500
北京交通大学,191,101,162,324,284,308,520,275,253,216,153,276,129,65,283,414
北京工业大学,89,16,73,165,212,288,122,82,270,107,390,129,157,9,71,414
北京航空航天大学,45,212,285,80,129,90,74,34,161,119,520,185,131,28,188,148
北京理工大学,179,70,284,351,327,394,228,127,404,269,341,285,179,175,261,411
北京科技大学,126,16,99,279,161,229,99,52,66,88,203,231,175,12,127,165
北方工业大学,13,6,10,12,12,16,19,19,61,10,12,11,12,11,8,13
北京化工大学,40,13,58,77,397,145,186,39,67,18,56,40,317,13,185,133
北京工商大学,15,7,49,50,61,75,162,34,145,167,347,119,68,10,166,67
北京服装学院,10,5,80,13,170,63,49,17,180,112,28,193,86,11,180,76
北京邮电大学,235,120,88,162,327,270,188,54,151,238,94,1300,580,104,263,160
北京印刷学院,9,3,9,14,12,88,40,8,6,12,8,12,6,4,13,14
北京建筑大学,10,7,9,17,19,17,68,10,16,146,51,10,12,5,10,11
北京石油化工学院,6,2,11,5,3,12,8,3,11,4,9,2,8,9,8,7
北京电子科技学院,2,2,4,3,2,15,12,1,1,1,4,1,2,2,5,2
中国农业大学,566,19,314,171,306,132,150,154,352,299,372,255,205,279,235,249
北京农学院,14,13,17,15,44,20,41,12,19,19,16,55,17,11,13,13
北京林业大学,51,78,44,107,110,225,201,108,152,71,637,125,108,48,125,172
北京协和医学院,8,1,5,4,6,11,3,2,5,4,3,261,19,2,5,4
首都医科大学,20,13,18,98,192,112,216,14,92,197,171,319,102,39,186,72
北京中医药大学,110,11,156,150,201,262,312,47,115,170,116,186,211,328,123,145
北京师范大学,882,569,866,941,898,1390,811,483,1580,812,989,820,920,502,713,1370
首都师范大学,142,10,134,190,286,276,214,37,134,130,208,379,279,20,438,162
首都体育学院,6,5,3,6,1,9,12,7,13,15,14,12,12,5,8,11
北京外国语大学,140,133,279,198,4000,1030,275,113,151,383,285,318,147,33,525,445
北京第二外国语学院,50,16,90,13,18,112,67,12,20,17,15,10,10,15,19,82
北京语言大学,20,16,67,327,217,144,353,143,371,108,74,111,79,9,100,261
中国传媒大学,629,842,395,1350,654,674,613,3220,1120,576,3810,772,340,1050,306,302
中央财经大学,177,127,297,156,527,430,393,693,704,181,225,200,165,84,297,235
对外经济贸易大学,63,9,60,219,115,144,179,73,161,86,61,921,57,14,164,76
北京物资学院,5,2,9,8,10,15,13,2,5,3,10,9,5,5,5,10
首都经济贸易大学,16,9,14,15,10,91,20,11,64,13,13,11,17,7,11,13
外交学院,20,8,13,18,20,65,20,19,246,15,18,18,12,6,11,239
中国人民公安大学,15,3,7,18,53,187,65,7,10,11,11,6,16,5,11,14
国际关系学院,18,14,17,154,213,127,274,14,141,91,66,145,19,9,192,229
北京体育大学,132,13,189,136,471,417,322,129,264,134,95,146,215,84,153,276
中央音乐学院,78,14,93,205,175,222,183,62,18,149,113,1950,62,357,121,75
中国音乐学院,13,6,12,72,137,122,20,12,7,162,92,264,180,14,11,66
中央美术学院,148,182,86,517,274,474,455,169,372,196,1060,442,166,110,453,867
中央戏剧学院,399,968,424,662,330,510,410,150,126,449,224,194,584,1850,457,695
中国戏曲学院,19,2,6,16,4,9,12,4,10,11,20,7,242,5,6,13
北京电影学院,435,1230,2330,749,727,501,852,636,934,2730,875,332,874,3770,788,1700
北京舞蹈学院,540,14,17,141,82,73,119,6,7,8,14,20,697,20,101,182
中央民族大学,697,11,113,155,170,245,99,41,296,137,90,309,102,10,84,162
中国政法大学,227,131,281,496,323,338,721,310,323,274,376,2960,143,240,202,583
华北电力大学,108,17,233,59,199,87,57,12,127,18,76,83,36,11,206,20
中华女子学院,19,3,18,27,40,67,18,10,21,17,154,24,14,2,66,18
北京信息科技大学,5,3,9,5,7,17,76,4,14,11,13,10,13,2,4,8
