university,wb_cnt_since2015,ret_cnt,like_cnt,cmt_cnt
中国人民大学,3740,53.402941,68.509358,30.092246
北京协和医学院,18,3.611111,1.888889,1.0
北京师范大学,20,21.5,21.5,7.85
中国传媒大学,12,54.416667,113.833333,30.833333
外交学院,1180,39.069492,67.515254,35.126271
中央戏剧学院,17,84.882353,401.117647,89.235294
中华女子学院,19,4.842105,4.0,2.631579
中国地质大学北京,14,1.5,0.571429,0.642857
中国青年政治学院,19,8.105263,1.684211,3.421053
北京工业大学耿丹学院,33,0.818182,0.393939,2.030303
北京交通职业技术学院,142,0.725352,1.119718,1.140845
北京科技经营管理学院,23,0.695652,0.043478,2.391304
北京交通运输职业学院,29,2.310345,0.0,1.551724
天津理工大学,8,2.25,0.125,2.875
天津职业技术师范大学,15,0.066667,0.0,1.6
天津美术学院,8,0.875,0.0,1.0
天津师范大学津沽学院,387,1.062016,2.521964,1.793282
天津市职业大学,5,1.0,0.0,1.6
天津轻工职业技术学院,24,0.0,0.0,0.583333
天津交通职业学院,12,0.083333,0.0,2.333333
天津城市建设管理职业技术学院,36,0.111111,0.0,0.444444
华北理工大学,2004,4.99501,25.326846,9.027445
衡水学院,13,0.692308,0.0,1.230769
河北科技学院,666,19.418919,13.95045,27.219219
河北工程大学科信学院,10,0.2,1.0,3.1
河北农业大学现代科技学院,43,1.372093,0.348837,1.093023
中国地质大学长城学院,16,0.25,0.0,1.6875
河北工程技术高等专科学校,34,0.0,0.0,0.294118
承德石油高等专科学校,3,0.0,0.0,2.666667
石家庄工商职业学院,196,0.571429,0.704082,0.561224
河北司法警官职业学院,86,3.627907,1.744186,1.662791
河北女子职业技术学院,11,22.636364,0.0,9.272727
石家庄医学高等专科学校,11,0.0,0.0,0.909091
石家庄经济职业学院,1,0.0,1.0,0.0
冀中职业学院,6,0.166667,0.166667,2.166667
保定幼儿师范高等专科学校,25,0.64,1.4,1.0
太原科技大学,12,3.5,2.25,1.916667
长治医学院,20,1.35,1.5,2.65
山西大同大学,20,2.75,1.6,4.95
吕梁学院,18,3.277778,0.277778,3.611111
山西农业大学信息学院,13,2.538462,0.384615,3.153846
山西工商学院,478,1.451883,5.456067,2.39749
山西艺术职业学院,17,1.117647,3.941176,2.0
山西交通职业技术学院,70,1.2,0.3,2.071429
山西林业职业技术学院,3,0.333333,0.0,2.0
忻州职业技术学院,74,0.675676,1.0,1.824324
通辽职业学院,104,0.663462,5.923077,2.086538
内蒙古能源职业学院,7,2.285714,7.571429,7.857143
赤峰工业职业技术学院,1,0.0,0.0,0.0
辽宁地质工程职业学院,169,12.982249,1.727811,0.366864
大连装备制造职业技术学院,17,1.352941,0.058824,1.235294
辽宁工程职业学院,1,0.0,0.0,0.0
铁岭卫生职业学院,3,0.0,0.0,0.0
延边大学,967,2.262668,9.539814,3.779731
吉林农业大学,9,0.0,0.666667,0.0
通化师范学院,7,0.0,0.142857,0.0
白城师范学院,16,0.5625,1.875,0.875
吉林华桥外国语学院,13,1.461538,1.923077,3.384615
长春光华学院,21,1.380952,0.857143,1.190476
吉林建筑大学城建学院,47,1.446809,0.617021,2.489362
长春汽车工业高等专科学校,171,1.573099,2.590643,3.883041
黑龙江外国语学院,436,1.873853,7.428899,2.548165
黑龙江工商学院,2,0.0,0.0,3.0
黑龙江艺术职业学院,79,4.265823,6.873418,2.253165
黑龙江司法警官职业学院,30,0.233333,0.166667,1.566667
黑龙江生物科技职业学院,63,0.777778,0.904762,1.968254
黑龙江公安警官职业学院,11,1.363636,0.090909,4.181818
黑龙江信息技术职业学院,14,0.357143,0.0,1.214286
黑龙江农垦科技职业学院,5,0.2,0.0,1.4
黑龙江旅游职业技术学院,25,0.68,0.0,1.32
黑龙江生态工程职业学院,7,0.0,0.0,0.142857
黑龙江护理高等专科学校,74,0.959459,1.351351,1.297297
上海民远职业技术学院,22,1.227273,0.090909,2.909091
上海济光职业技术学院,18,0.111111,0.0,3.722222
上海中侨职业技术学院,12,0.25,0.0,3.666667
上海中华职业技术学院,31,0.677419,0.064516,3.322581
上海健康职业技术学院,13,0.615385,0.0,1.0
苏州大学,12,27.083333,0.083333,10.583333
南京工业大学,27,11.148148,0.0,2.62963
江南大学,17,5.470588,0.0,6.470588
盐城工学院,695,2.889209,8.388489,4.040288
江苏师范大学,11,8.090909,4.727273,3.363636
南京财经大学,14,20.714286,122.642857,27.428571
苏州科技学院,17,1.823529,3.941176,2.705882
常州工学院,15,3.4,3.333333,2.866667
南京工程学院,19,8.157895,3.052632,5.0
淮海工学院,801,2.564295,4.700375,2.380774
泰州学院,10,2.4,2.8,1.1
中国矿业大学徐海学院,11,0.181818,1.818182,0.636364
中国传媒大学南广学院,17,21.529412,33.647059,16.588235
南京师范大学中北学院,14,1.0,1.5,1.214286
苏州大学文正学院,9,2.222222,2.666667,3.222222
扬州大学广陵学院,30,8.866667,2.166667,5.633333
南京财经大学红山学院,967,0.810755,1.552223,0.23061
南通大学杏林学院,9,0.444444,1.555556,1.555556
宿迁学院,20,6.35,2.6,7.0
江苏第二师范学院,13,4.615385,3.076923,3.076923
昆山杜克大学,19,2.631579,1.684211,2.947368
无锡职业技术学院,38,4.605263,3.5,3.605263
南京工业职业技术学院,344,6.892442,11.898256,11.125
沙洲职业工学院,64,0.71875,1.484375,0.671875
九州职业技术学院,98,1.163265,0.285714,1.163265
江苏海事职业技术学院,12,0.0,0.0,1.583333
钟山职业技术学院,54,0.574074,1.888889,0.907407
江南影视艺术职业学院,60,0.45,0.333333,0.766667
金肯职业技术学院,44,0.25,0.022727,3.068182
常州轻工职业技术学院,2,1.0,0.0,6.5
江苏农林职业技术学院,12,1.583333,0.0,1.333333
无锡城市职业技术学院,367,0.174387,0.828338,0.316076
苏州健雄职业技术学院,1,0.0,0.0,0.0
扬州工业职业技术学院,18,3.166667,2.555556,25.888889
苏州港大思培科技职业学院,15,2.066667,1.0,1.4
南京视觉艺术职业学院,22,2.363636,0.0,4.181818
宁波职业技术学院,254,3.074803,7.027559,3.295276
台州职业技术学院,43,0.837209,1.767442,1.046512
浙江艺术职业学院,10,1.0,1.2,1.0
浙江警官职业学院,15,3.866667,1.4,3.666667
湖州职业技术学院,20,2.55,1.75,1.9
浙江纺织服装职业技术学院,21,4.047619,0.333333,1.619048
宁波卫生职业技术学院,17,37.235294,1.705882,9.705882
福建幼儿师范高等专科学校,437,2.816934,2.844394,1.187643
漳州科技职业学院,47,0.829787,1.744681,0.617021
泉州工程职业技术学院,20,1.65,1.15,4.15
赣南医学院,1018,0.863458,3.156189,1.746562
萍乡学院,427,1.023419,3.367681,2.117096
江西工程学院,387,4.511628,8.498708,4.299742
江西理工大学应用科学学院,811,0.212084,1.178792,0.389642
江西医学高等专科学校,1980,0.141414,0.857071,0.147475
江西建设职业技术学院,524,0.40458,1.772901,1.003817
