university,51_2,51_6,50_1,50_5,61_1,61_5,62_1,62_5,63_1,63_5,64_1,64_5,53_1,53_5,52_1,52_5,21_1,21_5,22_1,22_5,23_1,23_5,46_1,46_5,44_1,44_5,45_1,45_5,42_1,42_5,43_1,43_5,41_1,41_5,11_11,11_15,13_1,13_5,12_1,12_5,15_1,15_5,14_1,14_5,33_1,33_5,32_1,32_5,31_1,31_5,37_1,37_5,36_1,36_5,35_1,35_5,34_11,34_15,54_1,54_5,65_11,65_15
邵阳学院,18.3333333333,23.0,16.0,12.3333333333,7.33333333333,13.0,5.0,2.33333333333,6.0,16.6666666667,3.0,2.0,13.3333333333,13.0,9.66666666667,8.66666666667,13.3333333333,10.6666666667,16.6666666667,28.3333333333,19.6666666667,32.3333333333,8.66666666667,3.33333333333,6.0,4.33333333333,48.3333333333,66.6666666667,13.0,13.3333333333,14.3333333333,15.6666666667,5.66666666667,24.3333333333,-1,-1,12.0,27.3333333333,-7.66666666667,-9.0,24.3333333333,33.3333333333,0.666666666667,2.66666666667,155.666666667,154.333333333,0.666666666667,3.33333333333,-5.66666666667,14.3333333333,15.0,19.6666666667,2.0,5.33333333333,46.0,57.3333333333,3.33333333333,9.33333333333,-1,-1,23.3333333333,20.0
广西财经学院,44.6666666667,52.3333333333,-1,-1,38.6666666667,32.3333333333,-1,-1,-1,-1,-1,-1,58.3333333333,63.0,59.3333333333,63.6666666667,32.6666666667,29.0,77.3333333333,52.5,54.0,73.0,35.0,27.3333333333,18.3333333333,22.3333333333,81.3333333333,104.333333333,35.0,30.6666666667,44.6666666667,59.3333333333,43.3333333333,49.3333333333,-1,-1,44.0,58.6666666667,16.3333333333,25.6666666667,-1,-1,30.6666666667,42.0,164.0,166.666666667,7.33333333333,11.0,-1,-1,31.6666666667,57.0,39.3333333333,41.3333333333,63.0,76.6666666667,32.6666666667,40.3333333333,-1,-1,-1,-1
南京邮电大学,75.0,104.333333333,60.3333333333,86.3333333333,74.3333333333,121.333333333,65.6666666667,102.0,72.3333333333,107.0,49.0,91.3333333333,92.6666666667,123.333333333,99.0,145.333333333,81.6666666667,132.666666667,121.666666667,151.0,126.333333333,176.333333333,102.0,116.666666667,51.6666666667,78.6666666667,126.0,174.333333333,67.0,110.666666667,75.0,130.666666667,76.3333333333,116.0,26.3333333333,55.3333333333,76.3333333333,122.333333333,68.3333333333,118.666666667,106.0,172.666666667,60.6666666667,96.6666666667,183.666666667,235.666666667,34.6666666667,43.3333333333,34.0,84.6666666667,87.3333333333,138.333333333,60.6666666667,104.0,118.0,175.333333333,74.3333333333,114.0,-1,-1,108.666666667,142.666666667
鲁东大学,48.3333333333,43.6666666667,25.6666666667,22.0,42.6666666667,36.3333333333,35.3333333333,31.0,31.0,14.6666666667,22.6666666667,12.0,44.3333333333,33.0,52.3333333333,49.0,46.0,43.3333333333,81.3333333333,56.6666666667,73.6666666667,81.3333333333,39.0,23.0,18.0,19.3333333333,79.6666666667,82.0,31.3333333333,32.6666666667,45.6666666667,52.0,49.6666666667,56.0,6.66666666667,-6.0,49.3333333333,62.0,17.0,19.6666666667,70.0,88.0,42.6666666667,55.6666666667,164.666666667,179.666666667,13.3333333333,12.3333333333,8.0,26.6666666667,58.0,75.0,40.3333333333,37.3333333333,73.6666666667,80.6666666667,38.6666666667,44.0,-1,-1,48.0,40.6666666667
内蒙古工业大学,-1,27.3333333333,-1,12.6666666667,-1,34.6666666667,-1,31.6666666667,-1,6.66666666667,-1,9.0,-1,13.6666666667,-1,19.6666666667,-1,20.3333333333,-1,50.6666666667,-1,70.6666666667,-1,-0.999,-1,10.3333333333,-1,45.0,-1,21.3333333333,-1,30.3333333333,-1,44.0,-1,-1,-1,57.0,-1,18.3333333333,80.3333333333,125.0,-1,48.3333333333,-1,138.0,-1,3.33333333333,-1,-1,-1,49.6666666667,-1,9.0,-1,46.0,-1,24.0,-1,-1,-1,-18.0
江苏大学,83.3333333333,97.3333333333,75.3333333333,86.3333333333,-1,98.6666666667,75.6666666667,93.6666666667,-1,77.0,70.0,68.3333333333,97.3333333333,108.0,105.0,138.666666667,97.3333333333,132.666666667,122.666666667,134.666666667,137.0,156.666666667,-1,99.0,-1,67.0,143.5,160.0,-1,100.0,85.0,115.666666667,81.0,107.0,65.6666666667,78.3333333333,79.3333333333,101.0,91.3333333333,116.333333333,-1,163.666666667,75.0,99.0,198.0,238.0,35.0,38.6666666667,58.3333333333,80.0,90.0,129.666666667,59.0,90.0,113.0,161.0,72.3333333333,96.0,-1,154.0,113.0,119.0
山西农业大学,31.3333333333,32.6666666667,16.0,16.6666666667,27.3333333333,27.0,18.3333333333,16.3333333333,25.3333333333,24.6666666667,10.3333333333,3.66666666667,28.0,14.6666666667,32.3333333333,25.3333333333,22.0,14.3333333333,34.0,37.6666666667,46.3333333333,53.0,17.3333333333,3.33333333333,5.33333333333,3.0,49.0,50.0,16.6666666667,22.6666666667,25.3333333333,28.0,32.0,30.0,-3.33333333333,-3.66666666667,33.0,38.3333333333,15.3333333333,12.0,45.3333333333,41.6666666667,48.6666666667,65.0,151.0,158.0,5.66666666667,4.0,-2.0,3.33333333333,35.0,42.0,19.3333333333,12.3333333333,55.3333333333,51.3333333333,20.0,20.6666666667,4.0,43.5,43.0,25.3333333333
玉溪师范学院,17.6666666667,16.0,13.3333333333,6.0,7.0,5.33333333333,-3.33333333333,-0.666666666667,-1,-1,-4.33333333333,-1.33333333333,14.6666666667,11.0,14.0,7.66666666667,10.3333333333,8.0,17.0,17.6666666667,25.3333333333,23.3333333333,-3.66666666667,-8.66666666667,-0.666666666667,5.66666666667,32.3333333333,13.0,6.66666666667,10.3333333333,4.33333333333,13.6666666667,2.0,4.0,-1,-1,8.33333333333,10.3333333333,-11.3333333333,-10.0,18.6666666667,23.3333333333,10.0,19.5,143.333333333,127.666666667,3.0,2.5,-1,-1,11.3333333333,11.6666666667,-2.5,-8.5,25.6666666667,34.6666666667,3.0,-2.33333333333,-1,-1,-1,-1
山东中医药大学,43.0,50.0,27.0,39.0,60.6666666667,56.3333333333,-1,46.3333333333,56.0,48.0,-1,-1,64.0,66.3333333333,46.0,68.6666666667,63.0,57.6666666667,91.3333333333,74.6666666667,94.3333333333,116.333333333,60.0,43.5,31.6666666667,25.0,95.3333333333,97.0,37.0,41.3333333333,52.3333333333,66.3333333333,47.0,72.3333333333,17.3333333333,23.3333333333,54.3333333333,72.6666666667,46.3333333333,52.3333333333,76.6666666667,103.333333333,50.6666666667,66.0,158.333333333,202.0,32.0,40.3333333333,-1,-1,72.6666666667,105.0,38.3333333333,43.6666666667,80.3333333333,95.3333333333,40.0,37.6666666667,-1,-1,-1,-1
喀什大学,29.0,26.0,2.0,14.0,2.0,4.0,11.0,12.0,-1,-1,-10.0,-10.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,2.0,3.0,3.0,-1,-1,4.0,10.0,-1,-1,40.0,43.0,11.0,8.0,-1,-1,-1,-1,-1,-1,3.0,6.0,-1,-1,-1,-1,-1,1.0,-1,-1,-5.0,-19.0
