university,51_2,51_6,50_1,50_5,61_1,61_5,62_1,62_5,63_1,63_5,64_1,64_5,53_1,53_5,52_1,52_5,21_1,21_5,22_1,22_5,23_1,23_5,46_1,46_5,44_1,44_5,45_1,45_5,42_1,42_5,43_1,43_5,41_1,41_5,11_11,11_15,13_1,13_5,12_1,12_5,15_1,15_5,14_1,14_5,33_1,33_5,32_1,32_5,31_1,31_5,37_1,37_5,36_1,36_5,35_1,35_5,34_11,34_15,54_1,54_5,65_11,65_15
大理大学,51.0,63.0,13.0,38.0,19.0,28.0,11.0,41.0,21.0,12.0,6.0,14.0,28.0,115.0,31.0,57.0,18.0,28.0,30.0,36.0,39.0,67.0,44.0,51.0,10.0,26.0,108.0,133.0,14.0,24.0,27.0,55.0,30.0,54.0,-1,-10.0,24.0,38.0,-4.0,5.0,63.0,89.0,15.0,25.0,192.0,212.0,5.0,7.0,-13.0,12.0,24.0,38.0,12.0,15.0,61.0,96.0,15.0,19.0,-1,-1,34.0,47.0
温州大学,56.0,62.0,40.3333333333,46.3333333333,-1,-1,41.0,46.3333333333,-1,-1,-1,-1,60.3333333333,63.0,64.6666666667,82.0,-1,-1,-1,-1,87.3333333333,99.3333333333,-1,-1,-1,-1,106.333333333,118.333333333,48.0,62.6666666667,61.3333333333,77.3333333333,58.0,73.6666666667,-1,-1,49.6666666667,65.0,-1,-1,72.0,82.3333333333,-1,-1,188.333333333,223.333333333,16.6666666667,18.0,-1,-1,60.0,84.0,46.0,56.6666666667,89.0,117.333333333,43.3333333333,55.0,-1,-1,-10.3333333333,35.0
沈阳工程学院,33.0,36.3333333333,-1,27.3333333333,-1,38.0,13.0,24.6666666667,-1,24.3333333333,-1,19.6666666667,-1,46.3333333333,16.6666666667,25.3333333333,18.0,106.0,-1,90.6666666667,-1,99.3333333333,-1,12.3333333333,-1,15.6666666667,16.0,53.3333333333,-1,38.6666666667,-1,53.6666666667,21.3333333333,48.6666666667,-1,-3.33333333333,24.0,64.6666666667,-1,42.3333333333,-1,102.666666667,16.5,34.3333333333,-1,185.666666667,-1,16.3333333333,-1,-3.33333333333,-1,67.0,-1,33.3333333333,-1,86.3333333333,16.0,39.3333333333,-1,-1,-1,-1
天津外国语大学,73.3333333333,84.0,51.0,48.5,83.6666666667,92.6666666667,74.6666666667,90.3333333333,-1,-1,66.6666666667,80.6666666667,115.333333333,125.0,106.666666667,152.0,71.0,89.6666666667,106.0,-1,144.666666667,-1,107.0,89.3333333333,45.6666666667,51.0,110.0,120.666666667,58.3333333333,66.3333333333,70.0,86.6666666667,82.3333333333,104.0,63.3333333333,49.6666666667,65.6666666667,86.3333333333,76.0,99.0,109.333333333,136.0,64.6666666667,86.6666666667,185.0,212.666666667,29.6666666667,27.0,-1,-1,99.0,136.333333333,75.6666666667,92.6666666667,97.6666666667,109.0,70.0,89.3333333333,-1,-1,89.3333333333,76.0
南京财经大学,77.3333333333,94.3333333333,63.0,63.3333333333,-1,-1,86.6666666667,113.333333333,-1,-1,-1,-1,122.333333333,153.0,117.666666667,164.333333333,91.3333333333,128.666666667,141.0,160.0,146.666666667,176.333333333,118.666666667,141.0,47.6666666667,56.0,136.0,154.5,-1,-1,98.3333333333,135.333333333,90.3333333333,112.666666667,38.3333333333,40.3333333333,92.0,121.333333333,63.6666666667,88.6666666667,136.0,185.666666667,-1,-1,186.666666667,219.666666667,41.6666666667,42.3333333333,45.0,65.0,98.3333333333,138.666666667,78.3333333333,102.666666667,128.333333333,178.0,85.3333333333,118.666666667,-1,-1,63.3333333333,65.6666666667
吉林警察学院,-1,-1,-1,-1,-1,-1,9.0,13.0,-1,-1,-1,-1,24.6666666667,28.3333333333,11.0,14.3333333333,33.3333333333,36.3333333333,36.6666666667,35.6666666667,39.0,57.0,-1,-1,-1,-1,37.3333333333,35.6666666667,13.6666666667,17.3333333333,2.33333333333,8.66666666667,11.6666666667,13.0,-1,-1,26.6666666667,27.3333333333,-1,-1,44.3333333333,63.0,14.3333333333,11.6666666667,-1,-1,5.66666666667,3.33333333333,-1,-1,22.3333333333,24.0,-1,-1,-1,-1,6.66666666667,12.3333333333,-1,-1,19.0,-16.0
南京农业大学,76.3333333333,97.3333333333,-1,82.0,77.6666666667,96.6666666667,-1,90.0,-1,98.6666666667,-1,57.0,96.3333333333,108.666666667,-1,135.0,94.0,131.0,117.0,137.333333333,132.0,167.0,-1,96.6666666667,55.6666666667,67.0,131.0,156.666666667,69.3333333333,99.3333333333,85.0,113.333333333,80.6666666667,105.333333333,71.3333333333,81.3333333333,86.3333333333,103.333333333,92.3333333333,123.333333333,-1,172.666666667,75.0,99.3333333333,208.666666667,249.333333333,44.6666666667,42.0,56.3333333333,77.3333333333,98.3333333333,134.0,-1,84.6666666667,122.0,169.666666667,79.3333333333,103.333333333,115.333333333,-4.0,121.333333333,117.0
天津职业技术师范大学,30.3333333333,24.6666666667,24.0,19.3333333333,21.6666666667,25.0,26.3333333333,27.0,24.3333333333,11.0,-1,15.6666666667,28.6666666667,15.6666666667,33.0,24.3333333333,38.6666666667,43.3333333333,70.3333333333,59.0,65.3333333333,82.6666666667,37.6666666667,29.3333333333,-1,9.0,67.3333333333,90.0,20.6666666667,24.0,24.6666666667,36.6666666667,37.3333333333,27.0,26.0,1.66666666667,45.6666666667,57.6666666667,31.3333333333,79.3333333333,63.6666666667,126.0,38.6666666667,69.0,168.0,235.0,10.0,7.0,-1,18.3333333333,50.0,64.0,28.3333333333,17.0,67.0,72.3333333333,28.6666666667,26.3333333333,38.0,8.66666666667,47.3333333333,25.3333333333
广西警察学院,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50.0,52.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
山东建筑大学,41.6666666667,54.0,14.6666666667,41.0,35.0,47.6666666667,38.0,46.6666666667,39.0,28.6666666667,19.0,26.3333333333,56.3333333333,51.0,57.0,82.3333333333,51.3333333333,66.6666666667,54.0,84.6666666667,66.3333333333,111.0,41.0,42.0,20.6666666667,30.6666666667,76.6666666667,92.3333333333,32.6666666667,54.0,48.0,71.3333333333,47.0,72.6666666667,18.0,33.0,52.3333333333,74.3333333333,34.6666666667,50.0,72.3333333333,114.333333333,43.3333333333,65.6666666667,154.333333333,184.0,14.6666666667,21.0,20.3333333333,13.6666666667,72.3333333333,107.0,30.0,52.6666666667,70.3333333333,104.666666667,37.6666666667,57.0,-1,-1,56.6666666667,55.0
池州学院,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.3333333333,-1,8.5,3.0,10.0,-1,-1,7.0,-1,-1,-1,-1,-1,-1,-1,128.0,147.0,-1,-1,-1,-1,-1,-1,-2.0,-9.0,22.6666666667,22.6666666667,4.66666666667,4.33333333333,-1,-1,-1,-1
东北电力大学,-1,68.0,-1,47.6666666667,-1,52.3333333333,46.3333333333,66.0,-1,40.3333333333,-1,66.3333333333,-1,73.0,-1,109.333333333,84.6666666667,132.333333333,50.6666666667,115.0,42.6666666667,176.333333333,-1,40.0,14.5,47.3333333333,33.0,100.333333333,-1,56.6666666667,-1,75.0,-1,96.6666666667,-1,38.6666666667,46.3333333333,95.6666666667,30.0,76.3333333333,-1,169.0,-1,68.6666666667,144.0,204.666666667,-1,22.0,5.0,18.6666666667,67.6666666667,125.0,-1,53.6666666667,76.6666666667,108.0,43.3333333333,54.0,-1,82.5,-1,61.0
北京交通大学,94.6666666667,128.666666667,109.666666667,117.0,116.666666667,156.333333333,99.3333333333,142.666666667,-1,157.333333333,-1,127.0,-1,169.333333333,-1,190.666666667,125.0,179.0,167.333333333,195.0,166.333333333,206.0,-1,169.666666667,78.6666666667,100.0,99.0,206.0,90.0,132.333333333,108.333333333,152.333333333,105.666666667,145.666666667,119.0,143.666666667,110.0,153.333333333,123.0,168.666666667,157.333333333,225.333333333,91.3333333333,143.333333333,221.333333333,272.0,55.6666666667,58.0,-1,97.0,116.0,163.666666667,86.3333333333,122.333333333,142.666666667,202.0,-1,135.0,-1,278.0,95.6666666667,184.333333333
山西大同大学,24.3333333333,27.0,10.6666666667,19.3333333333,21.0,24.6666666667,18.0,19.6666666667,26.0,18.0,12.6666666667,14.3333333333,20.3333333333,22.3333333333,27.0,39.6666666667,15.0,9.33333333333,33.6666666667,38.3333333333,37.0,37.0,14.0,6.66666666667,2.33333333333,21.5,50.6666666667,54.3333333333,13.6666666667,17.0,16.6666666667,27.3333333333,25.0,38.6666666667,-10.0,-5.33333333333,35.0,42.0,7.0,3.66666666667,46.0,47.3333333333,17.6666666667,19.0,151.0,159.666666667,3.33333333333,6.0,-2.33333333333,5.66666666667,26.6666666667,35.3333333333,11.0,6.0,51.0,55.0,13.0,24.0,-1,-1,31.3333333333,25.6666666667
中国矿业大学,97.0,126.0,77.0,86.0,74.0,106.0,69.0,107.0,68.0,95.0,51.0,77.0,102.0,113.0,98.0,136.0,105.0,147.0,123.0,147.0,147.0,196.0,124.0,143.0,55.0,76.0,183.0,213.0,70.0,117.0,87.0,123.0,88.0,120.0,64.0,79.0,92.0,123.0,-1,131.0,175.0,208.0,76.0,114.0,264.0,300.0,38.0,46.0,-1,75.0,94.0,128.0,61.0,87.0,133.0,189.0,68.0,100.0,-1,178.0,124.0,124.0
集美大学,79.3333333333,94.6666666667,48.0,39.3333333333,53.3333333333,54.0,65.6666666667,79.0,48.3333333333,45.3333333333,33.0,29.0,81.6666666667,89.0,105.0,143.0,75.0,98.6666666667,106.333333333,98.3333333333,100.0,120.666666667,66.6666666667,56.0,45.0,49.3333333333,110.333333333,126.333333333,47.0,68.6666666667,65.0,82.0,75.3333333333,94.0,21.3333333333,17.6666666667,76.6666666667,88.0,45.6666666667,49.0,95.6666666667,117.0,62.3333333333,75.3333333333,190.666666667,209.666666667,27.6666666667,34.6666666667,33.0,33.0,76.3333333333,104.0,67.0,83.6666666667,113.0,145.333333333,67.3333333333,88.3333333333,152.666666667,165.0,92.0,91.3333333333
河南科技大学,34.0,48.3333333333,18.0,28.6666666667,30.6666666667,39.6666666667,24.5,39.3333333333,21.0,22.0,22.3333333333,16.0,31.0,46.0,43.6666666667,62.0,27.0,37.6666666667,111.0,118.666666667,51.6666666667,86.3333333333,23.6666666667,28.3333333333,11.0,20.0,56.3333333333,95.0,22.5,42.6666666667,31.0,59.6666666667,60.3333333333,83.6666666667,-11.0,-4.33333333333,39.6666666667,63.3333333333,8.0,11.6666666667,55.3333333333,68.0,34.6666666667,51.6666666667,162.333333333,181.666666667,12.3333333333,15.0,18.0,4.33333333333,33.6666666667,65.3333333333,25.6666666667,43.6666666667,99.0,127.333333333,31.0,47.6666666667,-1,-1,42.3333333333,48.0
湖南商学院,47.6666666667,46.6666666667,31.0,43.0,36.0,32.6666666667,29.3333333333,33.3333333333,33.6666666667,45.0,13.3333333333,13.3333333333,32.0,60.0,51.3333333333,85.6666666667,40.3333333333,33.3333333333,55.6666666667,84.3333333333,63.6666666667,62.0,51.0,31.6666666667,27.3333333333,40.6666666667,91.3333333333,114.666666667,32.6666666667,43.3333333333,55.0,70.3333333333,49.6666666667,61.6666666667,-3.0,-4.33333333333,51.0,53.0,10.0,29.0,54.0,60.6666666667,38.0,42.0,156.0,200.0,7.0,10.6666666667,1.33333333333,4.0,54.3333333333,40.6666666667,43.0,34.6666666667,82.0,88.6666666667,42.3333333333,45.3333333333,-1,-1,28.0,26.3333333333
河南中医学院,41.3333333333,57.6666666667,31.3333333333,30.3333333333,34.0,28.3333333333,26.0,26.3333333333,34.0,5.66666666667,14.6666666667,14.3333333333,30.6666666667,48.0,23.0,39.0,36.3333333333,22.3333333333,34.0,24.5,37.0,46.0,14.3333333333,5.66666666667,24.3333333333,19.6666666667,54.3333333333,64.0,15.6666666667,12.6666666667,25.3333333333,44.6666666667,61.0,80.0,21.0,11.6666666667,34.3333333333,36.3333333333,27.3333333333,17.0,46.6666666667,69.3333333333,27.6666666667,41.0,160.666666667,170.333333333,17.0,9.33333333333,-1,24.0,18.0,22.6666666667,20.3333333333,18.0,66.6666666667,82.0,25.6666666667,22.6666666667,-1,-1,67.3333333333,54.0
华南农业大学,-1,88.3333333333,-1,69.0,-1,40.0,65.0,77.6666666667,-1,-1,-1,-1,85.0,91.3333333333,89.3333333333,114.0,-1,118.0,-1,123.0,-1,146.666666667,100.0,90.0,54.3333333333,69.0,130.666666667,156.333333333,65.6666666667,89.3333333333,80.3333333333,107.0,69.3333333333,88.3333333333,-1,71.6666666667,-1,86.3333333333,-1,59.5,-1,139.666666667,63.3333333333,81.3333333333,187.0,224.333333333,-1,34.3333333333,-1,37.5,76.0,112.333333333,57.0,73.6666666667,108.0,144.333333333,57.6666666667,77.3333333333,-1,-1,103.0,97.3333333333
华东政法大学,95.6666666667,112.333333333,94.0,97.0,105.666666667,117.0,89.3333333333,95.3333333333,115.333333333,132.666666667,94.6666666667,114.333333333,134.0,154.0,131.333333333,173.0,120.666666667,165.666666667,158.333333333,176.333333333,162.0,192.0,140.0,140.333333333,80.3333333333,93.6666666667,149.0,181.0,80.3333333333,112.333333333,108.0,140.666666667,96.3333333333,114.0,79.0,92.6666666667,99.0,120.666666667,115.0,143.0,148.666666667,201.333333333,88.6666666667,117.0,227.666666667,282.0,63.3333333333,61.6666666667,78.3333333333,106.666666667,114.666666667,153.666666667,90.3333333333,112.0,147.0,203.666666667,92.6666666667,122.0,229.0,-1,143.0,157.333333333
嘉应学院,9.5,13.5,-1,-1,-1,-1,-7.5,-13.5,-1,-1,-1,-1,7.0,13.0,7.0,12.0,-1,-1,-1,-1,-1,-1,-6.0,-1,5.66666666667,9.33333333333,-1,37.0,-1,-1,-1,-1,10.0,8.0,-1,-1,-1,-1,-1,-1,-1,-1,7.0,-3.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36.5,-1,4.5,10.5,-1,-1,-1,-1
楚雄师范学院,13.3333333333,19.0,6.66666666667,15.6666666667,4.66666666667,13.6666666667,-4.33333333333,-8.0,7.5,8.0,-1,-1,3.66666666667,2.33333333333,4.0,9.0,11.6666666667,8.5,-1,-1,18.3333333333,29.3333333333,-8.33333333333,-11.3333333333,-1,-1,35.6666666667,29.6666666667,2.5,9.0,5.0,2.66666666667,15.0,1.0,-1,-1,5.66666666667,12.3333333333,-10.3333333333,-11.0,-1,-1,1.0,-7.33333333333,134.0,137.333333333,2.0,3.33333333333,-1,-1,14.0,17.3333333333,-2.33333333333,-11.0,19.3333333333,32.6666666667,-2.0,1.0,-1,-1,14.3333333333,23.0
上海海关学院,94.0,122.666666667,93.0,126.333333333,63.3333333333,100.333333333,82.0,109.666666667,62.6666666667,77.6666666667,57.0,41.6666666667,115.333333333,142.666666667,109.333333333,191.333333333,116.333333333,171.666666667,153.0,199.333333333,164.333333333,231.333333333,102.0,133.0,78.3333333333,106.333333333,135.666666667,190.0,66.6666666667,109.666666667,82.6666666667,130.333333333,88.3333333333,120.333333333,77.3333333333,120.0,66.6666666667,129.0,96.6666666667,147.666666667,136.0,202.333333333,67.3333333333,108.666666667,192.333333333,249.0,55.0,64.0,73.3333333333,106.0,112.0,171.333333333,67.6666666667,106.666666667,112.333333333,196.0,57.6666666667,127.333333333,-1,166.0,109.666666667,136.0
青海大学,-1,87.6666666667,-1,81.3333333333,62.3333333333,81.3333333333,-1,73.6666666667,34.0,64.6666666667,-1,34.3333333333,-61.0,-94.3333333333,-1,109.0,-1,86.6666666667,-1,120.666666667,-1,134.0,-1,54.6666666667,-1,22.3333333333,-1,130.333333333,54.0,76.3333333333,-1,86.0,64.0,89.3333333333,-1,54.0,-1,84.0,-1,89.5,-1,-22.6666666667,-1,76.0,-1,224.666666667,-1,33.0,-1,84.0,70.6666666667,105.0,-1,62.6666666667,-1,137.0,-1,69.0,-1,-1,-1,84.6666666667
黑河学院,24.0,14.0,4.0,4.0,9.66666666667,8.33333333333,-2.66666666667,-5.0,-1,-1,-1,-1,-0.666666666667,-7.33333333333,6.0,4.33333333333,10.6666666667,7.33333333333,-1,-1,10.6666666667,20.0,-1,-1,2.0,-1,-1,-1,10.0,-1,-1,-1,5.66666666667,9.33333333333,-1,-1,8.33333333333,13.3333333333,-1,-1,22.0,32.0,4.66666666667,3.33333333333,-1,-1,1.0,-1,-1,-1,14.3333333333,21.0,-14.0,-1,-1,-1,4.0,7.33333333333,-1,-1,-1,-1
佳木斯大学,19.0,24.6666666667,11.0,21.3333333333,14.6666666667,25.6666666667,7.66666666667,18.6666666667,7.0,11.6666666667,-1,6.66666666667,16.3333333333,32.6666666667,17.0,21.0,9.0,22.3333333333,36.0,12.3333333333,30.3333333333,146.333333333,-1,7.0,0.0,0.333333333333,45.0,50.3333333333,7.0,13.6666666667,9.66666666667,22.6666666667,20.0,34.3333333333,-1,-7.33333333333,31.3333333333,40.3333333333,-6.0,-4.0,-80.0,35.0,23.3333333333,30.6666666667,159.5,159.0,2.5,2.5,2.0,4.0,17.0,31.3333333333,9.0,1.5,38.0,38.0,10.0,14.0,74.5,56.0,-1,31.6666666667
湖北中医药大学,42.3333333333,67.3333333333,44.0,68.3333333333,60.0,87.0,43.6666666667,43.6666666667,-1,-1,-1,-1,71.0,80.3333333333,54.0,56.0,68.0,96.0,66.0,60.3333333333,69.0,83.0,45.6666666667,41.0,27.0,30.3333333333,89.3333333333,99.3333333333,64.6666666667,84.0,70.3333333333,96.3333333333,58.0,71.0,31.5,-8.0,44.6666666667,55.6666666667,62.6666666667,96.0,55.6666666667,81.6666666667,40.3333333333,49.0,206.0,247.666666667,39.0,37.0,12.3333333333,22.3333333333,48.0,58.0,33.3333333333,48.6666666667,71.3333333333,99.3333333333,40.6666666667,49.0,-1,-1,25.3333333333,18.0
武夷学院,22.3333333333,25.0,11.6666666667,10.6666666667,14.3333333333,16.6666666667,3.0,2.0,11.3333333333,7.66666666667,-1,-1,21.6666666667,17.6666666667,16.0,12.6666666667,6.66666666667,10.3333333333,50.0,39.3333333333,19.0,38.3333333333,33.0,27.3333333333,11.6666666667,13.0,62.0,68.6666666667,13.3333333333,14.3333333333,26.6666666667,35.6666666667,18.0,20.3333333333,-1,-1,20.3333333333,30.0,-2.5,3.0,26.0,31.3333333333,7.0,8.0,136.666666667,128.333333333,2.66666666667,3.33333333333,-1,-1,15.3333333333,25.6666666667,20.6666666667,18.3333333333,45.0,60.0,12.6666666667,20.0,27.0,-1,40.5,32.5
上海海洋大学,57.0,79.6666666667,-1,35.6666666667,50.0,44.3333333333,39.6666666667,36.0,-1,33.0,-1,12.0,66.6666666667,61.6666666667,79.6666666667,113.0,-1,57.6666666667,99.0,90.6666666667,-1,96.6666666667,-1,72.6666666667,46.0,52.3333333333,111.333333333,132.0,49.3333333333,57.3333333333,56.0,67.0,65.3333333333,86.6666666667,-1,19.3333333333,-1,63.6666666667,-1,52.6666666667,92.0,104.666666667,46.6666666667,57.0,187.0,225.333333333,32.6666666667,39.6666666667,57.3333333333,78.6666666667,63.6666666667,108.333333333,55.0,70.3333333333,109.333333333,136.333333333,63.0,74.0,-1,-1,91.3333333333,101.0
甘肃医学院,-1,-1,-1,-1,-1,-1,-1,12.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
武汉商学院,29.0,33.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40.0,-1,-1,19.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90.0,90.0,20.3333333333,22.3333333333,38.5,32.0,32.5,34.0,-1,-1,-1,-1,-1,-1,75.0,85.0,-1,13.0,-1,-1,-1,-1,-1,-1,-1,54.0,19.5,21.5,-1,-1,20.5,16.5,59.0,30.5,-1,-1
