university,salary_grad5y,loc_per,male_per,ave_salary
华东交通大学,6701,15,65,8358.0
江西理工大学,6561,19,72,8037.0
绍兴文理学院,5674,30,43,6967.0
安徽工业大学,6526,24,72,7526.0
内蒙古大学,6360,31,48,8030.0
广东建设职业技术学院,5465,59,65,5392.0
南昌工程学院,6355,18,64,6723.0
山西建筑职业技术学院,5525,61,60,4969.0
上海海洋大学,6939,85,41,8363.0
南昌航空大学,6780,18,70,8013.0
上海大学,8474,93,45,10460.0
中国科学技术大学,9589,25,73,11715.0
中国农业大学,7322,62,47,10012.0
广西英华国际职业学院,-1,24,52,-1
重庆商务职业学院,-1,83,13,-1
西安科技大学高新学院,-1,65,60,-1
山西体育职业学院,3589,43,72,3357.0
广州东华职业学院,-1,57,-1,-1
民办明达职业技术学院,-1,30,61,-1
宁夏财经职业技术学院,3483,62,23,-1
上饶职业技术学院,5385,15,53,5385.0
湖南高速铁路职业技术学院,4261,24,58,-1
亳州职业技术学院,4435,25,48,3880.0
伊犁职业技术学院,-1,30,-1,-1
重庆艺术工程职业学院,-1,100,-1,-1
重庆公共运输职业学院,-1,100,-1,-1
银川能源学院,-1,47,65,-1
哈尔滨应用职业技术学院,4585,57,76,-1
包头铁道职业技术学院,-1,24,62,-1
盘锦职业技术学院,3696,37,33,-1
重庆建筑工程职业学院,-1,89,69,-1
山东师范大学历山学院,3024,48,38,-1
重庆邮电大学移通学院,3483,58,64,3735.0
福建生物工程职业技术学院,5385,51,43,-1
黑龙江煤炭职业技术学院,5385,21,72,-1
广西科技师范学院,3505,18,34,-1
安徽国际商务职业学院,3828,40,25,3597.0
安徽汽车职业技术学院,-1,51,96,-1
湖北工程学院新技术学院,4506,33,51,-1
柳州铁道职业技术学院,-1,23,53,-1
浙江东方职业技术学院,4342,34,53,-1
浙江邮电职业技术学院,5385,50,60,-1
太原旅游职业学院,4033,46,18,3483.0
贵州工业职业技术学院,-1,39,75,-1
广州华商职业学院,-1,51,60,-1
西南科技大学城市学院,-1,47,69,3077.0
六盘水职业技术学院,3935,27,52,-1
黑龙江工程学院昆仑旅游学院,3749,58,17,-1
伊春职业学院,4456,18,56,-1
湖南电气职业技术学院,3935,22,71,3536.0
湖北文理学院理工学院,5000,24,52,3231.0
鹤壁汽车工程职业学院,-1,33,-1,-1
云南国土资源职业学院,4342,60,65,-1
广州科技贸易职业学院,3803,68,51,-1
中国美术学院,8013,40,38,9103.0
金山职业技术学院,3803,25,59,-1
四川国际标榜职业学院,4541,67,29,3623.0
宁夏医科大学,4352,47,62,4774.0
新乡职业技术学院,4199,36,70,-1
临沂职业学院,-1,38,54,-1
湖南科技工业职业技术学院,4199,24,78,-1
云南工商学院,-1,50,-1,-1
宜春职业技术学院,3803,19,30,-1
郑州商贸旅游职业学院,-1,88,-1,-1
内蒙古机电职业技术学院,4032,29,78,4800.0
贵阳职业技术学院,-1,52,67,-1
西安海棠职业学院,4541,56,34,3935.0
武威职业学院,3841,15,60,-1
昭通学院,-1,100,-1,-1
江西农业工程职业学院,5862,23,54,-1
海南医学院,4862,41,47,6279.0
黔南民族职业技术学院,3547,19,43,-1
聊城大学东昌学院,-1,22,41,-1
辽宁职业学院,3483,48,50,3589.0
天门职业学院,-1,33,-1,-1
浙江树人学院,-1,42,-1,-1
阜阳科技职业学院,5385,21,53,-1
铜川职业技术学院,4034,57,68,-1
新疆艺术学院,5268,20,48,5288.0
西安高新科技职业学院,4342,52,54,-1
益阳职业技术学院,4603,24,44,-1
三峡旅游职业技术学院,-1,27,28,-1
贵州职业技术学院,4195,45,60,-1
韩山师范学院,5136,32,40,5714.0
湖南九嶷职业技术学院,-1,27,32,-1
上海民航职业技术学院,-1,88,-1,-1
巴音郭楞职业技术学院,-1,30,54,-1
德宏职业学院,-1,100,-1,-1
太湖创意职业技术学院,-1,55,53,-1
苏州卫生职业技术学院,5325,40,11,-1
江苏农牧科技职业学院,-1,19,43,-1
北京北大方正软件职业技术学院,-1,64,-1,-1
锡林郭勒职业学院,3803,23,44,-1
新疆能源职业技术学院,-1,27,-1,-1
新疆石河子职业技术学院,5385,17,54,-1
山西运城农业职业技术学院,3547,24,60,-1
长垣烹饪职业技术学院,-1,42,-1,-1
鹰潭职业技术学院,5195,22,46,-1
河南推拿职业学院,-1,35,60,-1
安徽人口职业学院,-1,100,-1,-1
德州职业技术学院,3643,21,58,3696.0
眉山职业技术学院,3853,59,42,3590.0
云南林业职业技术学院,5595,75,48,-1
江汉大学文理学院,3455,62,42,5000.0
天津国土资源和房屋职业学院,3643,70,36,3452.0
衢州职业技术学院,4991,45,44,-1
潞安职业技术学院,5002,26,62,-1
泉州轻工职业学院,-1,38,-1,-1
宁夏司法警官职业学院,4199,36,59,-1
宁夏工业职业学院,4648,33,76,-1
大同煤炭职业技术学院,-1,23,68,-1
郑州信息科技职业学院,4792,57,57,-1
河南理工大学万方科技学院,4393,34,56,-1
中山火炬职业技术学院,5385,30,58,3869.0
山东司法警官职业学院,4187,68,36,-1
甘肃机电职业技术学院,-1,19,81,-1
运城护理职业学院,-1,100,-1,-1
内蒙古体育职业学院,5314,30,35,-1
河南艺术职业学院,-1,60,40,-1
广西城市职业学院,4254,24,61,-1
内蒙古科技职业学院,-1,32,40,-1
湖北汽车工业学院科技学院,5518,25,72,-1
广西外国语学院,-1,21,-1,-1
重庆交通职业学院,-1,94,52,-1
青海卫生职业技术学院,3803,45,12,-1
中山职业技术学院,5385,42,61,-1
三亚理工职业学院,-1,32,53,-1
杭州科技职业技术学院,5025,75,57,-1
马鞍山职业技术学院,-1,20,50,-1
郑州电力职业技术学院,3709,40,71,3622.0
江西青年职业学院,4217,17,35,-1
泊头职业学院,-1,43,36,-1
昌吉职业技术学院,3881,28,54,-1
四川华新现代职业学院,4194,79,36,-1
大连装备制造职业技术学院,-1,40,88,-1
三峡大学科技学院,4791,20,52,4166.0
开封文化艺术职业学院,-1,35,32,-1
陕西艺术职业学院,-1,50,-1,-1
重庆水利电力职业技术学院,5415,73,71,-1
广西科技职业学院,-1,30,-1,-1
贵州航天职业技术学院,4737,15,65,-1
新疆农业职业技术学院,3773,24,41,-1
山西金融职业学院,3547,58,24,3676.0
四川文化艺术学院,-1,21,39,-1
厦门华天涉外职业技术学院,3749,42,50,-1
四川司法警官职业学院,3826,60,47,-1
郑州理工职业学院,-1,56,60,-1
广东食品药品职业学院,4355,63,41,3803.0
民办安徽旅游职业学院,-1,100,-1,-1
红河学院,3996,36,52,-1
上海工会管理职业学院,4277,95,28,3946.0
青海民族大学,4429,15,55,4507.0
长白山职业技术学院,-1,47,18,-1
湖北大学知行学院,5000,54,32,3362.0
西南交通大学希望学院,-1,61,39,-1
安顺职业技术学院,4199,22,49,-1
辽宁理工职业学院,-1,46,25,-1
闽北职业技术学院,5805,25,46,-1
保山学院,-1,35,-1,-1
巴中职业技术学院,-1,52,-1,-1
青岛工学院,-1,31,57,-1
云南艺术学院,4723,48,44,4621.0
甘肃畜牧工程职业技术学院,3775,17,87,-1
海南政法职业学院,3483,18,49,-1
浙江体育职业技术学院,-1,50,70,-1
江西冶金职业技术学院,5862,15,75,-1
玉溪师范学院,3766,36,47,-1
郑州信息工程职业学院,-1,55,43,-1
民办合肥经济技术职业学院,-1,66,-1,-1
嵩山少林武术职业学院,3483,36,45,-1
兰州资源环境职业技术学院,3589,36,60,-1
伊犁师范学院,4159,18,35,-1
长江大学文理学院,5527,21,31,5000.0
云南工程职业学院,-1,67,62,-1
江西警察学院,-1,47,-1,-1
临汾职业技术学院,3696,30,57,-1
福建水利电力职业技术学院,4355,36,80,-1
辽宁现代服务职业技术学院,-1,70,16,-1
广州科技职业技术学院,4804,59,62,3788.0
石家庄科技信息职业学院,6401,36,52,-1
广西现代职业技术学院,-1,27,62,-1
广西工程职业学院,-1,17,75,-1
菏泽职业学院,-1,17,77,-1
四川城市职业学院,-1,80,43,-1
沈阳工学院,3077,49,55,3077.0
重庆师范大学涉外商贸学院,4583,53,30,3357.0
